Data,Precipitacao,Pressao_atmosferica,Pressao_atmosferica_max,Pressao_atmosferica_min,Radiacao,Temperatura_do_ar,Temperatura_de_orvalho,Temperatura_max,Temperatura_min,Temperatura_de_orvalho_max,Temperatura_de_orvalho_min,Umidade_rel_max,Umidade_rel_min,Umidade_rel,Vento_direcao,Vento_rajada_max,Vento_velocidade
2016-06-08,,,,,,,,,,,,,,,,,
2016-06-09,,,,,,,,,,,,,,,,,
2016-06-10,0.0,983.25,983.3333333333334,982.9499999999999,197.225,16.816666666666666,13.5,17.116666666666667,16.733333333333334,13.95,13.3,83.25,78.5,80.0,47.833333333333336,1.7666666666666666,0.5
2016-06-11,0.0,985.3333333333334,985.5083333333333,985.0166666666668,963.1,16.466666666666665,,17.075,15.991666666666667,,,,,,228.29166666666666,4.029166666666667,1.4541666666666666
2016-06-12,0.0,988.85,989.0375,988.525,819.6750000000001,12.85,,13.4375,12.2125,,,,,,153.41666666666666,2.6416666666666666,0.8458333333333333
2016-06-13,0.0,992.3708333333334,992.5791666666668,992.0541666666667,991.225,12.866666666666667,,13.683333333333332,12.1875,,,,,,159.79166666666666,2.983333333333333,0.9958333333333335
2016-06-14,0.0,993.0458333333332,993.2875,992.8583333333332,856.9250000000001,12.195833333333333,7.87,12.891666666666666,11.520833333333334,8.144444444444444,7.366666666666666,95.55555555555556,91.55555555555556,92.6,77.5,1.8958333333333333,0.6
2016-06-15,0.0,990.6708333333332,990.9541666666668,990.4916666666667,873.4083333333333,13.083333333333334,10.408333333333333,13.770833333333334,12.341666666666667,11.325000000000001,10.15,77.66666666666667,70.08333333333333,74.75,64.04166666666667,2.0416666666666665,0.6791666666666667
2016-06-16,0.0,988.4125,988.6791666666667,988.225,951.5250000000001,13.995833333333332,,14.637500000000001,13.291666666666666,,,,,,87.83333333333333,1.7750000000000001,0.6625
2016-06-17,0.0,985.9125,986.1999999999999,985.6999999999999,947.9333333333334,15.5625,,16.283333333333335,14.845833333333333,,,,,,54.875,1.9625000000000001,0.7083333333333334
2016-06-18,0.0,985.1750000000001,985.4166666666666,984.8791666666666,924.9,16.733333333333334,,17.491666666666667,15.983333333333334,,,,,,93.95833333333333,2.316666666666667,0.7416666666666667
2016-06-19,0.0,986.6458333333334,986.9041666666667,986.4041666666667,712.9250000000001,17.416666666666668,15.35,18.029166666666665,16.966666666666665,15.75,15.1,89.0,83.5,83.5,70.70833333333333,2.3249999999999997,0.7541666666666668
2016-06-20,0.0,986.5833333333334,986.7916666666666,986.3083333333334,359.27333333333337,15.608333333333334,,15.9625,15.083333333333334,,,,,,122.16666666666667,2.0416666666666665,0.7666666666666666
2016-06-21,0.0,988.1583333333333,988.3458333333333,987.8541666666666,980.8583333333332,18.441666666666666,,18.908333333333335,18.025000000000002,,,,,,204.375,3.641666666666667,1.2625
2016-06-22,0.0,987.9791666666666,988.2916666666666,987.8125,633.9499999999999,17.712500000000002,,18.2,17.375,,,,,,111.33333333333333,2.4875000000000003,0.75
2016-06-23,0.0,984.975,985.2624999999999,984.7458333333334,903.3583333333332,19.779166666666665,,20.354166666666668,19.154166666666665,,,,,,87.875,2.183333333333333,0.6749999999999999
2016-06-24,0.0,987.1166666666667,987.2875,986.7208333333333,824.475,18.766666666666666,,19.366666666666667,18.316666666666666,,,,,,177.79166666666666,3.2083333333333335,1.0041666666666667
2016-06-25,0.0,990.0500000000001,990.275,989.7833333333333,868.6333333333333,18.491666666666667,12.65,19.129166666666666,18.020833333333332,12.875,12.2,75.5,65.25,75.5,144.0,2.7916666666666665,0.8708333333333332
2016-06-26,0.0,991.1,991.3166666666666,990.8666666666667,721.9499999999999,15.858333333333334,11.74375,16.433333333333334,15.204166666666666,12.04375,11.35,92.625,89.4375,90.1875,63.791666666666664,2.1625,0.7374999999999999
2016-06-27,0.0,990.9499999999999,991.1583333333333,990.7583333333333,854.1833333333333,18.729166666666668,,19.304166666666667,18.191666666666666,,,,,,47.5,2.1416666666666666,0.6458333333333334
2016-06-28,0.0,990.1791666666667,990.3708333333334,990.0,661.4666666666667,18.229166666666668,15.4,18.787499999999998,17.783333333333335,,,,,91.0,111.375,2.3249999999999997,0.6791666666666667
2016-06-29,0.0,988.8375,989.0916666666667,988.6458333333334,956.7666666666668,18.279166666666665,16.15,18.833333333333332,17.745833333333334,16.05,15.425,81.0,77.25,73.25,57.25,2.2375000000000003,0.7166666666666667
2016-06-30,0.0,988.7624999999999,988.9791666666666,988.5333333333333,634.4916666666667,18.537499999999998,14.75,18.962500000000002,18.029166666666665,15.049999999999999,14.333333333333334,91.83333333333333,88.41666666666667,89.08333333333333,77.95833333333333,1.7083333333333333,0.5875
2016-07-01,0.03333333333333333,988.4916666666667,988.7083333333334,988.2875,647.5583333333333,20.287499999999998,16.7,20.7625,19.854166666666668,17.5,16.7,92.0,87.0,92.0,93.70833333333333,1.9916666666666665,0.6041666666666666
2016-07-02,0.0,989.1583333333333,989.3333333333334,988.9499999999999,766.5666666666666,18.875,15.5875,19.462500000000002,18.341666666666665,15.8875,15.24375,93.125,90.125,90.75,52.291666666666664,1.9124999999999999,0.6375000000000001
2016-07-03,0.0,989.2458333333334,989.4583333333334,989.0375,702.4083333333333,17.854166666666668,,18.474999999999998,17.316666666666666,,,,,,46.416666666666664,1.8083333333333333,0.5958333333333333
2016-07-04,0.0,988.8708333333334,989.1125000000001,988.6374999999999,863.1307692307693,18.270833333333332,,18.8,17.683333333333334,,,,,,93.875,2.1625,0.6875
2016-07-05,0.0,987.4333333333334,987.7125,987.25,667.2153846153847,17.712500000000002,14.984615384615385,18.283333333333335,17.162499999999998,15.307692307692308,14.53076923076923,89.38461538461539,85.76923076923077,86.07692307692308,65.29166666666667,2.0749999999999997,0.7083333333333334
2016-07-06,0.0,984.1708333333332,984.5124999999999,983.9499999999999,960.7333333333332,18.354166666666668,14.714285714285714,18.974999999999998,17.7,15.165000000000001,14.235,82.2,76.9,80.19047619047619,42.875,2.4,0.7791666666666667
2016-07-07,0.0,981.7624999999999,982.0166666666668,981.4,969.2333333333332,19.658333333333335,14.895833333333334,20.358333333333334,18.9875,15.325000000000001,14.579166666666666,79.41666666666667,74.625,76.79166666666667,149.04166666666666,3.216666666666667,1.1041666666666667
2016-07-08,0.0,987.1583333333333,987.3375,986.7666666666668,1057.8333333333333,15.770833333333334,11.05,16.679166666666667,15.045833333333334,11.452941176470588,10.411764705882353,85.88235294117646,80.29411764705883,84.8125,179.16666666666666,2.6333333333333333,0.8291666666666666
2016-07-09,0.0,987.4499999999999,987.75,987.2416666666667,754.625,15.3125,12.841666666666667,15.875,14.725,13.363636363636363,12.52727272727273,73.54545454545455,67.27272727272727,71.5,101.20833333333333,2.4291666666666667,0.7708333333333334
2016-07-10,0.0,983.9499999999999,984.275,983.7916666666666,987.3166666666666,16.954166666666666,13.487499999999999,17.6125,16.241666666666667,13.8375,13.120833333333332,84.70833333333333,80.20833333333333,82.54166666666667,43.458333333333336,2.2291666666666665,0.7166666666666667
2016-07-11,0.0,981.4916666666667,981.7708333333334,981.3041666666667,1031.3,19.2,15.183333333333332,19.962500000000002,18.425,15.558333333333332,14.729166666666666,83.0,77.91666666666667,80.45833333333333,65.125,1.9166666666666667,0.7208333333333333
2016-07-12,0.0,980.3333333333334,980.5708333333333,980.1166666666667,1022.5083333333333,19.816666666666666,15.054166666666667,20.679166666666667,19.033333333333335,15.549999999999999,14.629166666666668,80.70833333333333,74.95833333333333,77.83333333333333,61.416666666666664,1.8666666666666665,0.6916666666666668
2016-07-13,0.0,982.1541666666667,982.4083333333333,981.8041666666667,1023.3249999999999,19.908333333333335,15.154166666666667,20.758333333333333,19.104166666666668,15.595833333333333,14.716666666666667,80.75,74.75,77.54166666666667,76.0,2.225,0.6875
2016-07-14,0.0,981.6166666666667,981.9125,981.4208333333332,1061.3333333333333,18.825,14.066666666666668,19.620833333333334,18.033333333333335,14.6,13.525,80.79166666666667,74.79166666666667,77.83333333333333,51.291666666666664,2.1083333333333334,0.7708333333333334
